Date,Session_ID,Exercise,Set_number,Weight_kg,Reps,RPE,Workout_type,Volume_kg,Est_1RM
03-04-2026,S_001,DB Incline Bench,1,20,6,4,Push,120,
03-04-2026,S_001,DB Incline Bench,2,32.5,6,8,Push,195,39
03-04-2026,S_001,DB Incline Bench,3,32.5,4,9,Push,130,
03-04-2026,S_001,DB Incline Bench,4,27.5,8,9,Push,220,
03-04-2026,S_001,Seated Shoulder Press,1,40,8,6,Push,320,
03-04-2026,S_001,Seated Shoulder Press,2,45,8,7,Push,360,
03-04-2026,S_001,Seated Shoulder Press,3,48,6,8,Push,288,57.6
03-04-2026,S_001,Seated Cable Chest Fly,1,18,5,9,Push,90,21
03-04-2026,S_001,Seated Cable Chest Fly,2,16,6,9,Push,96,
03-04-2026,S_001,Seated Cable Chest Fly,3,16,5,10,Push,80,
03-04-2026,S_001,French Press,1,29,8,6.5,Push,232,
03-04-2026,S_001,French Press,2,32,8,9,Push,256,40.53333333
03-04-2026,S_001,French Press,3,34,5,10,Push,170,
03-04-2026,S_001,Seated Lateral Raise,1,7,8,8,Push,56,
03-04-2026,S_001,Seated Lateral Raise,2,7,8,8.5,Push,56,8.866666667
03-04-2026,S_001,SA Tricep Pushdown,1,9,9,3,Push,81,
03-04-2026,S_001,SA Tricep Pushdown,2,12,8,9,Push,96,15.2
03-04-2026,S_001,SA Tricep Pushdown,3,12,6,10,Push,72,
05-04-2026,S_002,Deadlift,1,60,6,6,Pull,360,
05-04-2026,S_002,Deadlift,2,70,6,6,Pull,420,
05-04-2026,S_002,Deadlift,3,70,6,7,Pull,420,
05-04-2026,S_002,Deadlift,4,75,6,7.5,Pull,450,90
05-04-2026,S_002,SA Preacher Curl,1,12.5,8,7.5,Pull,100,
05-04-2026,S_002,SA Preacher Curl,2,12.5,8,7.5,Pull,100,
05-04-2026,S_002,SA Preacher Curl,3,12.5,10,8,Pull,125,16.66666667
05-04-2026,S_002,Back Extension,1,20,8,8.5,Pull,160,
05-04-2026,S_002,Back Extension,2,20,8,8.75,Pull,160,
05-04-2026,S_002,Back Extension,3,25,8,8,Pull,200,31.66666667
05-04-2026,S_002,Lat Pulldown,1,55,8,7,Pull,440,
05-04-2026,S_002,Lat Pulldown,2,73,8,8.5,Pull,584,
05-04-2026,S_002,Lat Pulldown,3,82,6,9.25,Pull,492,98.4
